name,image_link,state,city,latitude,longitude
"World's Largest Redwood Tree Service Station (1936), angle, Route 101, Ukiah, California",https://cdn.loc.gov/service/pnp/mrg/00000/00007v.jpg,California,Ukiah,39.1501662,-123.2077861
"Gordon Spencer gas station, 4691 Huntington Drive, South Pasadena, California",https://cdn.loc.gov/service/pnp/mrg/00000/00022v.jpg,California,South Pasadena,34.1133062,-118.1478291
"Mattoon Service Station (pre-fabricated), angle view, National & Washington Boulevards, Culver City, California",https://cdn.loc.gov/service/pnp/mrg/00000/00037v.jpg,California,Culver City,34.0211224,-118.396466
"Richfield Gas, Route 66, Cucamonga, California",https://cdn.loc.gov/service/pnp/mrg/00000/00038v.jpg,California,Cucamonga,34.0991995,-117.6022102
"Far-Go gas pumps, Main Street, Barstow, California",https://cdn.loc.gov/service/pnp/mrg/00000/00053v.jpg,California,Barstow,34.8986215,-117.0244313
"Earl Schieb Auto Painting sign, upper detail, Olympic Boulevard, Beverly Hills, California",https://cdn.loc.gov/service/pnp/mrg/00000/00063v.jpg,California,Beverly Hills,34.0696501,-118.3963062
"Compton Car Wash, Rosecrans Avenue, Compton, California",https://cdn.loc.gov/service/pnp/mrg/00000/00068v.jpg,California,Compton,33.894927,-118.226624
"Delta Queen Car Wash, side view, Hamilton Avenue near Bascom, Campbell, California",https://cdn.loc.gov/service/pnp/mrg/00000/00069v.jpg,California,Campbell,37.2870626,-121.944881
"Delta Queen Car Wash, front view, Hamilton Avenue near Bascom, Campbell, California",https://cdn.loc.gov/service/pnp/mrg/00000/00070v.jpg,California,Campbell,37.2870626,-121.944881
"Hillborn Top Shop formerly Gates Tires, tower view, Washington Place 7 Grandview, Mar Vista, California",https://cdn.loc.gov/service/pnp/mrg/00000/00071v.jpg,California,Mar Vista,34.0037605,-118.4391641
"The Donut Hole, straight-on view, no cars, Amar Road, La Puente, California",https://cdn.loc.gov/service/pnp/mrg/00000/00081v.jpg,California,La Puente,34.0280619,-117.953097
"The Donut Hole, angle view, Amar Road, La Puente, California",https://cdn.loc.gov/service/pnp/mrg/00000/00082v.jpg,California,La Puente,34.0280619,-117.953097
