index,title,year,image,image_link,state,category,decade
1,"Teapot Dome gas station, Zillah, Washington",1987.0,00001v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00001v.jpg,WA,Gas Station,1980
2,"Harold's Auto Center, horizontal view, Sinclair gas station, Route 19, Spring Hill, Florida",1979.0,00002v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00002v.jpg,FL,Gas Station,1970
4,"Bomber gas station, diagonal view, Route 99 E., Milwaukie, Oregon",1980.0,00004v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00004v.jpg,OR,Gas Station,1980
5,"Hat n' Boots gas station, overall view, Route 99, Seattle, Washington.",1980.0,00005v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00005v.jpg,WA,Gas Station,1980
6,"Hat n' Boots gas station (1945), boot restrooms with hat behind them view, 6800 [East] Marginal Way [South], Route 99, Seattle, Washington",1977.0,00006v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00006v.jpg,WA,Gas Station,1970
7,"World's Largest Redwood Tree Service Station (1936), angle, Route 101, Ukiah, California",1991.0,00007v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00007v.jpg,CA,Gas Station,1990
8,"Shell gas station (restoration), Winston-Salem, North Carolina",2001.0,00008v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00008v.jpg,NC,Gas Station,2000
9,"Teepee gas station, Route 40, Lawrence, Kansas",1980.0,00009v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00009v.jpg,KS,Gas Station,1980
10,"Pagoda gas station, Harley Sprague, Milwaukee, Wisconsin",1977.0,00010v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00010v.jpg,WI,Gas Station,1970
11,"Co-Op gas station, Cimarron, Kansas",1979.0,00011v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00011v.jpg,KS,Gas Station,1970
12,"Sears gas station, overall view, N. James Street, Rome, New York",1983.0,00012v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00012v.jpg,NY,Gas Station,1980
13,"Union 76 gas station, 4th & Stone, Tucson, Arizona",1979.0,00013v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00013v.jpg,AZ,Gas Station,1970
14,"March Mobil Gas, overall view, Mount Clemens, Michigan",1986.0,00014v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00014v.jpg,MI,Gas Station,1980
15,"N.J. Brown Gulf gas station, Route 17, Kingsland, Georgia",1979.0,00015v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00015v.jpg,GA,Gas Station,1970
16,"Field Brothers Service Station, horizontal view, 300 W. Paul, Pauls Valley, Oklahoma",1982.0,00016v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00016v.jpg,OK,Gas Station,1980
17,"Arco gas station, overall view, Route 10, Deposit, New York",1976.0,00017v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00017v.jpg,NY,Gas Station,1970
18,"Arco gas station, closer view, Route 10, Deposit, New York",1976.0,00018v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00018v.jpg,NY,Gas Station,1970
19,"Shell gas station, 10th Avenue & 20th Street, New York City, New York",1977.0,00019v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00019v.jpg,NY,Gas Station,1970
20,"Rube & Sons Shell gas station, front view, Route 9, Poughkeepsie, New York",1976.0,00020v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00020v.jpg,NY,Gas Station,1970
21,"Rube & Sons Shell gas station, front view, Route 9, Kingston, New York",1976.0,00021v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00021v.jpg,NY,Gas Station,1970
22,"Gordon Spencer gas station, 4691 Huntington Drive, South Pasadena, California",1977.0,00022v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00022v.jpg,CA,Gas Station,1970
23,"Leahy's Citgo gas station, horizontal view, Danbury, Connecticut",1978.0,00023v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00023v.jpg,CT,Gas Station,1970
24,"Phillips 66 gas station, Turkey, Texas",1977.0,00024v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00024v.jpg,TX,Gas Station,1970
25,"Pure gas station (Nichols Photo Studio), Calhoun Avenue, Greenwood, South Carolina",1982.0,00025v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00025v.jpg,SC,Gas Station,1980
26,"Beacon (Mobil) gas station, overall view, 2116 S. 10th Avenue, Milwaukee, Wisconsin",1977.0,00026v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00026v.jpg,WI,Gas Station,1970
27,"Old gas station, angle 1, Route 175, Odebolt, Iowa",1987.0,00027v.jpg,https://cdn.loc.gov/service/pnp/mrg/00000/00027v.jpg,IA,Gas Station,1980
